scenario,method,traj_id,traj_pos_rmse_m,traj_vel_rmse_mps
test,AUKF,45,422.77232726656854,0.8145086759317857
test,AUKF,46,852.6923006251671,1.0731260018647755
test,AUKF,47,3901.599685390696,5.893970854021759
test,AUKF,48,816.6760337178142,0.7087422012852107
test,AUKF,49,1927.8144918037997,3.6394887507891793
test,AUKF,50,4531.092746140519,7.273701178613306
test,AUKF,51,2515.9179164380516,2.4394388985991813
test,AUKF,52,1205.2966522559939,1.6347912868701147
test,AUKF,53,16453.11684975908,15.27165529571037
test,AUKF,54,2648.3913715803983,4.888883362391766
test,AUKF,55,3855.043940986187,5.4931762707078
test,AUKF,56,504.43431548151966,0.8979583792927885
test,AUKF,57,501.86650925736586,0.9244547919849214
test,AUKF,58,6757.5959785941595,8.969762874636668
test,AUKF,59,7685.650848745506,5.338550327654471
test,AUKF,60,1453.6649282712224,2.3355865314829156
test,AUKF,61,22094.062776166713,25.279102528016622
test,AUKF,62,10486.47880607064,10.946008279483951
test,AUKF,63,2507.3742923337513,2.0794950328067205
test,GNN,0,3616682.518988757,4229.296408660162
test,GNN,1,3577654.184301412,3862.698533406239
test,GNN,2,3097209.5085779554,3427.1206709795174
test,GNN,3,3038784.1356134727,3427.7052695213642
test,GNN,4,3796828.953521127,3980.5694740421945
test,GNN,5,3302109.180156667,3610.9467699007077
test,GNN,6,3288652.666987827,3753.5330834249553
test,GNN,7,3991119.88308961,4198.336449252615
test,GNN,8,2898282.280631785,3100.0797016267384
test,GNN,9,2545820.721635826,2768.0670914027364
test,GNN,10,4314933.156439802,4316.764022422217
test,GNN,11,3637044.8152440563,3908.8106192053574
test,GNN,12,3446640.0274285427,3612.910305540102
test,GNN,13,3230502.2171921195,3457.5019586508197
test,GNN,14,2998664.7468120665,3010.897072010876
test,GNN,15,3868252.5495728613,4379.6077759999125
test,GNN,16,3026400.1355504827,3257.2802899452718
test,GNN,17,3905973.538606225,4906.180773079221
test,GNN,18,3713607.7693562545,3822.215768247919
test,GNN,19,3227782.238117688,3356.512866400596
test,GNN,20,3229299.529598447,3933.1097959769163
test,GNN,21,3413339.4762410596,3579.714900001519
test,GNN,22,3275226.469110731,3576.7238627015226
test,GNN,23,3244204.885709203,3503.8159745302
test,GNN,24,3921339.4623066382,4377.061006017704
test,GNN,25,3452411.2170219705,3874.1659308872813
test,GNN,26,3186155.0871097855,3723.9434406315527
test,GNN,27,4258730.444834089,4404.718772201433
test,GNN,28,3656603.1272407384,4235.913128799229
test,GNN,29,3472492.4690951295,3673.97707725274
test,GNN,30,3080186.250609013,3185.089838901335
test,GNN,31,3356339.1013172497,3382.569943197723
test,GNN,32,2778697.4849131014,2919.44089165899
test,GNN,33,4003591.475972539,4263.021302874598
test,GNN,34,2895863.11575829,3319.7292231122647
test,GNN,35,4025026.846645743,4120.457359457559
test,GNN,36,4313072.835067186,4322.427015204531
test,GNN,37,3760660.1342948615,4532.655284766237
test,GNN,38,3662792.209052103,3780.7275210683815
test,GNN,39,3319972.0284501542,3623.492814997484
test,GNN,40,3307282.247713549,3609.2279801820728
test,GNN,41,4061530.8939456437,4135.166675177177
test,GNN,42,2969093.12500774,3241.2273104608275
test,GNN,43,3667700.953987507,4395.7025254063265
test,GNN,44,3601071.925102117,3884.1385952413657
test,GNN,45,3518925.71284954,3505.238053252302
test,GNN,46,3009323.907626896,3642.401568716015
test,GNN,47,3037039.412299981,3327.4320846378555
test,GNN,48,3631441.109739612,3690.1811967468875
test,GNN,49,2872090.3878928325,3120.821975753476
test,GNN,50,3518582.1800037636,3586.1912571519506
test,GNN,51,3707611.523203659,4035.560117847392
test,GNN,52,3336316.9260979644,3390.502939196946
test,GNN,53,3765844.874873304,3944.311076466903
test,GNN,54,3062025.963089882,3338.889437066419
test,GNN,55,2438225.9317657263,2532.2489245293023
test,GNN,56,2890938.118703095,3033.9603918777116
test,GNN,57,2527259.1039350084,2899.415795577791
