scenario,label,trajectory_index,EnKF_observed_pos_rmse_m,EKF_observed_pos_rmse_m,UKF_observed_pos_rmse_m,AUKF_observed_pos_rmse_m
stress_test,stress,34,681.7146650795121,595.5787177281416,631.4683546348699,595.3286832940626
stress_test,stress,35,848.8226220331903,701.3055772129563,770.1976147389752,674.6407465120523
stress_test,stress,36,1490.0638938093052,1588.020407500308,1619.575069863235,1808.2183544266334
stress_test,stress,37,,,,
stress_test,stress,38,,,,
stress_test,stress,39,6465.564735022549,2465.4222619291254,6283.663504649577,2616.420229193498
stress_test,stress,40,2566.2594544233616,817.5009519822249,3248.265784779764,445.7481282797004
stress_test,stress,41,1274.2460785867152,799.1988727239199,1148.7128613489901,827.6028807467634
stress_test,stress,42,2555.024987306653,1042.102533168557,2279.6635879158925,945.1012036578454
stress_test,stress,43,2123.313117787695,2296.308246185676,1787.362430421398,1846.7805714809788
stress_test,stress,44,401.3508515795881,412.61993025322016,524.4927863213939,453.5717213137127
stress_test,stress,45,1391.0138616544814,1443.048632980049,1547.36254244562,1869.800169707046
stress_test,stress,46,,,,
stress_test,stress,47,1626.3706561820754,712.8713076428953,1330.7462876306008,774.6802778932096
stress_test,stress,48,,,,
stress_test,stress,49,2189.0320276846996,672.9645111602592,2546.86664591163,581.6537587948436
stress_test,stress,50,923.6981183406446,785.0650000618725,758.4816352836765,931.1562329444652
stress_test,stress,51,,,,
stress_test,stress,52,1183.0739151732128,1231.5786686030424,1215.1696571210107,1177.8108972271634
stress_test,stress,53,1201.1691588498397,1138.6790146630617,1128.6883778751417,1221.7718983878408
stress_test,stress,54,661.711383311972,402.77035165693536,724.287111165268,375.01780297871056
stress_test,stress,55,,,,
stress_test,stress,56,,,,
stress_test,stress,57,527.1067916084918,627.4948412600667,659.7382280877047,650.8887047230786
stress_test,stress,58,698.7044487963623,751.1480648695524,731.7801967868752,1291.089721631136
stress_test,stress,59,1223.7600671700127,936.3422829376393,932.9546406816789,754.3009305321431
stress_test,stress,60,411.29054499281244,389.53628203670866,391.5336486762786,409.9293221318666
stress_test,stress,61,1598.013305401338,708.3165778014989,1633.2211149750065,680.2301220126772
stress_test,stress,62,,,,
stress_test,stress,63,778.9527009530378,634.2025050693859,985.8046907366655,584.5569101675314
