scenario,scenario_index,realization_index,data_seed,initialization_seed,filter_seed,trajectories,time_steps,observed_step_count,zero_visible_step_count,visible_update_count,ekf_pos_rmse_m,ukf_pos_rmse_m,aukf_pos_rmse_m,best_nonadaptive_method,best_nonadaptive_pos_rmse_m,aukf_minus_ukf_m,aukf_vs_ukf_percent,aukf_minus_best_nonadaptive_m,aukf_vs_best_nonadaptive_percent,median_pre_update_r_only_nis_ukf,median_pre_update_r_only_nis_aukf,rho_pre_update_r_only_nis_aukf_vs_ukf,ukf_pre_update_r_only_nis_finite_count,aukf_pre_update_r_only_nis_finite_count,ukf_pre_update_r_only_nis_nonfinite_count,aukf_pre_update_r_only_nis_nonfinite_count,aukf_worse_than_ukf,aukf_worse_than_best_nonadaptive,finite_for_thresholds,divergent,exclusion_reason
sunsync_like_test,6,5,691505,691522,691542,12,120,279,1029,279,450.48829600645263,479.8707938238463,452.3411372391841,EKF,450.48829600645263,-27.529656584662234,-5.736889375011219,1.852841232731464,0.4112961977384923,5.342221062928957,5.065719995055908,0.9482423013544385,279,279,0,0,false,true,true,false,
sunsync_like_test,6,6,691606,691623,691643,12,120,308,1000,308,335.4086792308937,330.0827643927628,353.4360413613408,UKF,330.0827643927628,23.35327696857803,7.074976184091258,23.35327696857803,7.074976184091258,5.0780046740228695,5.109615736477053,1.0062250951866771,308,308,0,0,true,true,true,false,
sunsync_like_test,6,7,691707,691724,691744,12,120,279,1029,292,409.201748788455,438.8813205493283,419.67112677974376,EKF,409.201748788455,-19.21019376958452,-4.377081655136285,10.469377991288752,2.5584880862034405,5.340091796455422,5.3850527786640505,1.008419514855245,292,292,0,0,false,true,true,false,
high_inclination_test,7,0,791000,791017,791037,12,120,253,1055,253,455.157587431516,421.25025946637146,492.5496635143284,UKF,421.25025946637146,71.29940404795695,16.92566412618407,71.29940404795695,16.92566412618407,6.037347737460377,6.063100205587382,1.0042655267257867,253,253,0,0,true,true,true,false,
high_inclination_test,7,1,791101,791118,791138,12,120,250,1058,250,399.55888430153374,406.9007214667548,409.2707731815472,EKF,399.55888430153374,2.370051714792396,0.5824643677821637,9.711888880013476,2.4306527176815913,6.125782326527986,5.901273641399544,0.9633502019560511,250,250,0,0,true,true,true,false,
high_inclination_test,7,2,791202,791219,791239,12,120,240,1068,249,280.31318252621236,509.12160013903707,840.4933807452398,EKF,280.31318252621236,331.3717806062028,65.08696164446917,560.1801982190275,199.840832732383,6.297034217804322,6.657905067274212,1.057308065509563,249,249,0,0,true,true,true,false,
high_inclination_test,7,3,791303,791320,791340,12,120,235,1073,238,402.3252659556814,411.6628512117633,422.92216243481374,EKF,402.3252659556814,11.259311223050418,2.735080707406003,20.59689647913234,5.11946383238114,4.715918076816992,4.682568328157759,0.9929282595422558,238,238,0,0,true,true,true,false,
high_inclination_test,7,4,791404,791421,791441,12,120,261,1047,261,452.36735245384415,395.64964590406146,431.098826816943,UKF,395.64964590406146,35.44918091288156,8.959740335892377,35.44918091288156,8.959740335892377,5.108052749631712,5.304692438311015,1.03849601762501,261,261,0,0,true,true,true,false,
high_inclination_test,7,5,791505,791522,791542,12,120,426,882,430,377.53691022170625,478.4426597088269,368.56703656929307,EKF,377.53691022170625,-109.87562313953384,-22.96526467903228,-8.969873652413185,-2.375893166881532,6.14493657257357,5.994739096297312,0.9755575221155858,430,430,0,0,false,false,true,false,
high_inclination_test,7,6,791606,791623,791643,12,120,256,1052,258,379.5329422820056,375.31799519939455,384.0401799255461,UKF,375.31799519939455,8.722184726151568,2.3239452511510263,8.722184726151568,2.3239452511510263,5.295418972347665,5.281362244295158,0.9973454927502601,258,258,0,0,true,true,true,false,
