tier,source_name,scenario,trajectory_row,trajectory_index,seed,split,source_is_extra,tier_flags,observed_steps,attention_selected_observed_step_rmse_m,local_selected_observed_step_rmse_m,mean_selected_observed_step_rmse_m,best_single_trajectory_observed_step_rmse_m,local_minus_attention_rmse_m,local_minus_mean_rmse_m,attention_selected_candidate_method,attention_selected_probability,local_selected_candidate_method,local_selected_probability,mean_selected_candidate_method,mean_selected_probability,best_single_candidate_method
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_obsckpt_seed167_split167_20260625,maneuver_shift_test,4,38,167,167,True,fresh_extra;all_eval_non_development,19,253.1723759545954,290.5145221080103,241.26560439396357,397.93439685777037,37.34214615341489,49.24891771404671,BatchWLS,0.9995020031929016,BatchWLS,0.5398560166358948,BatchWLS,0.9994863867759705,RFIS
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_obsckpt_seed167_split167_20260625,process_noise_shift_test,0,0,167,167,True,fresh_extra;all_eval_non_development,38,222.3424113725122,279.24615611002855,248.08118569249402,291.348573545378,56.90374473751635,31.164970417534533,EKF,0.999633252620697,EKF,0.5316116809844971,EKF,0.9789357781410217,RFIS
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_obsckpt_seed167_split167_20260625,process_noise_shift_test,1,10,167,167,True,fresh_extra;all_eval_non_development,23,311.31337884927785,285.4923894142745,324.9203404144945,359.2295566401062,-25.820989435003355,-39.42795100021999,RFIS,0.999964714050293,RFIS,0.3943686783313751,RFIS,0.9993348121643066,RFIS
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_obsckpt_seed167_split167_20260625,process_noise_shift_test,2,39,167,167,True,fresh_extra;all_eval_non_development,37,396.57051736804607,431.09515776502366,389.2598137646136,408.8577481470154,34.52464039697759,41.83534400041003,RFIS,0.9999998211860657,RFIS,0.7698829770088196,RFIS,0.9999966621398926,RFIS
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_obsckpt_seed167_split167_20260625,process_noise_shift_test,3,16,167,167,True,fresh_extra;all_eval_non_development,45,296.8581328548205,282.6719809220583,296.6711780326942,308.9258686335423,-14.186151932762186,-13.999197110635862,RFIS,0.5605725646018982,EKF,0.5137537717819214,EKF,0.6830494403839111,RFIS
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_obsckpt_seed167_split167_20260625,process_noise_shift_test,5,11,167,167,True,fresh_extra;all_eval_non_development,33,358.3144769329119,437.75326037541174,362.91312434453573,374.14424150794434,79.43878344249987,74.84013603087601,RFIS,0.9987547397613525,RFIS,0.6345421671867371,RFIS,0.9982940554618835,RFIS
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_obsckpt_seed167_split167_20260625,process_noise_shift_test,6,2,167,167,True,fresh_extra;all_eval_non_development,25,288.2789329380093,324.86221193217625,288.70345187421344,293.09025998960755,36.58327899416696,36.15876005796281,RFIS,0.9987557530403137,RFIS,0.6623066067695618,RFIS,0.9978068470954895,RFIS
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_seed101_split101_20260623,maneuver_shift_test,0,38,101,101,False,holdout_seed_ge_67;all_eval_non_development,19,253.1723759545954,290.5145221080103,241.26560439396357,498.39457232785537,37.34214615341489,49.24891771404671,BatchWLS,0.9995020031929016,BatchWLS,0.5398560166358948,BatchWLS,0.9994863867759705,EKF
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_seed101_split101_20260623,maneuver_shift_test,1,0,101,101,False,holdout_seed_ge_67;all_eval_non_development,51,293.4573859891403,363.61164647873625,322.66402144830107,457.7680239329494,70.15426048959597,40.94762503043518,EKF,0.7288891673088074,EKF,0.5097046494483948,EKF,0.771777331829071,EKF
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_seed101_split101_20260623,maneuver_shift_test,2,35,101,101,False,holdout_seed_ge_67;all_eval_non_development,25,365.5710664286968,499.5611832893638,367.90620867976173,600.8165294104623,133.990116860667,131.65497460960205,RFIS,0.9983468651771545,RFIS,0.38763317465782166,RFIS,0.9999678134918213,EKF
